Title,Description,URL
My Hero Academia,"Studios: Bones
Genre: Action",https://youtu.be/yu0HjPzFYnY?si=mcJF7odrruHwZ3k-
Naruto,"Studios: Studio Pierrot
Genres: Action, Adventure, Fantasy",https://youtu.be/q1aq9GEHR8Q?si=I1PvRuGlvuiO5Gdg
Nekopara,"Studios: Felix Film
Genre: Slice of Life",https://youtu.be/bVtSUIiawEs?si=EC9i8zDn3IMGKqGn
Nisekoi: False Love,"Studios: Shaft
Genres: Comedy, Romance",https://youtu.be/G5YmZRs_L9k?si=MwOvSEAjojO0SlDC
"No Game, No Life","Studios: Madhouse
Genres: Comedy, Fantasy, Ecchi",https://youtu.be/6CBp4qylX6I?si=Yq45HCsmQWwFRxIa
Noragami ,"Studios: Bones
Genres: Action, Supernatural",https://youtu.be/gWCnKoEgfP0?si=3h85VYke0GowZDuH
One Piece,"Studios: Toei Animation
Genres: Action, Adventure, Fantasy",https://youtu.be/YoeP9w5UIlg?si=JdKWM3BmJGi6yhoz
Peach Boy Riverside,"Studios: Asahi Production
Genres: Action, Adventure, Fantasy",https://youtu.be/zlhqLdmn9dw?si=4OviLVjQTRARkX6U
Pokémon,"Studios: OLM
Genres: Action, Adventure, Comedy, Fantasy",https://youtu.be/6xKWiCMKKJg?si=VMsCVP4pQo9JWEkB
Ranking of Kings,"Studios: Wit Studio
Genres: Adventure, Fantasy",https://youtu.be/s5SSAXK6bQE?si=iYccoh6TdXG4ksTT
Rascal Does Not Dream of Bunny Girl Senpai ,"Studios: CloverWorks
Genres: Drama, Romance, Supernatural",https://youtu.be/HIoeEngUiKU?si=O_zLLBI_-RRRj68P
Redo of Healer ,"Studios: TNK
Genres: Action, Fantasy, Erotica",https://youtu.be/NOHKYZdDO7g?si=O-DPSmzsFUdlpEOc
Remake Our Life!,"Studios: feel.
Genres: Drama, Romance",https://youtu.be/URTn52pY9KY?si=7xFLmRwwSbTBoRtd
Run with the Wind,"Studios: Production I.G
Genres: Drama, Sports",https://youtu.be/PxQI5f2Stbg?si=V7DFmg-x4EIA7nOU
Sabikui Bisco,"Studios: OZ
Genres: Action, Adventure, Fantasy, Sci-Fi",https://youtu.be/DP0RnPp9gNA?si=Fhqdvf6DSE_PB2U6
Saga of Tanya the Evil,"Studios: Nut
Genres: Action, Fantasy",https://youtu.be/fggISqEyuew?si=MForS-2Vm6TOAtMl
Salaryman's Club,"Studios: LIDENFILMS
Genre: Sports",https://youtu.be/BAv38U7rNpc?si=rnKLAqmE3NgM2Y6M
"Science Fell in Love, So I Tried to Prove It ","Studios: Zero-G
Genres: Comedy, Romance",https://youtu.be/POKhar54nYU?si=6N24TRkybsMqeJM-
